;input;path;Lev;generated
24066;mouse 20 12;О Ф Х А К И М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
24067;mouse 20 13;О Ф Ц Г З У Щ Т Щ У З Ц Ф И К А Х Ф Х А К А К Л Е Р;22; О Ф Х А Х Ц Г Я Э Т
24068;mouse 14 1;О Ф Х К Л Е Р Е Л И М Э В Э Я М Ф Ц Я Э Ж Э М И К А Д С Ш Р;24; О Ф Х А К И М Я Г Т
24069;mouse 14 2;О Ф Ц Я М И Л К Х Ф Х К Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
24070;mouse 14 3;О М Э Ж Т Щ У З Г Ц Х К И М Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
24071;mouse 14 4;О Ф О Ы О Ф Х А К Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
24072;mouse 14 5;О Ф Ц Г Я М И Л К Д С Ш С Д А Х Ц Я М И Л Е Р;17; О Ф Х А Х Ц Г Я М Т
24073;mouse 14 6;О Ф Х Ф И К А К Л Е Ш Р;8; О Ф Х А Х Ц Г Я Э Т
24074;mouse 14 7;О Ф Ц Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
24075;mouse 14 8;О М И Л Е Ш С Д А Х Ц Г З Ц Х К Л И О Ы О Ф Х Ф И Л Е Р;23; О Ф Х А Х Ц Г Я М Т
24076;mouse 15 1;О Ф Ц Г Я Э Я Ц Х Д С Ш Р Е Л К А Х Ф О Ы О М Э М О Ы О М Я Г Ц Х К Л Е Ш С Д А Х Ф Ц Г Я Э Ж Т;41; О Ф Х А К И М Я Г Т
24077;mouse 15 2;О Ф Ц Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
24078;mouse 15 3;О Ф Х А К Л Е Ш С Д А Х Ц Г З У Щ Т;11; О Ф Х А Х Ц Г Я Э Т
24079;mouse 15 4;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
24080;mouse 15 5;О Ф Ц Г Я Э В Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
24081;mouse 15 6;О Ф Х А К Л И Ф Х К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
24082;mouse 15 7;О Ф Ц Г Я М И К Д С Ш С Д А Х Ц Я Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
24083;mouse 15 8;О Ф Х А К Л К Х Ц Ф О Ы О И Л И Л Е Ш С Ш С Д Х Ц Я Э В Ж Т;22; О Ф Х А Х Ц Г Я Э Т
24084;mouse 15 9;О Ф И Л Б Е Р;7; О Ф Х А Х Ц Г Я Э Т
24085;mouse 15 10;О М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24086;mouse 15 11;О Ф Ц Г З Ц Х А К Л И К Л Е Р Ш С Д А Х Ф О Ы О И Л К А Д С Ш С Д Х Ф О Ы О Ф Ц Г Я М Э Ж Т;37; О Ф Х А Х Ц Г Я Э Т
24087;mouse 15 12;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
24088;mouse 15 13;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
24089;mouse 16 1;О Ф Ц Г Я М И Л Е Р Е Л И М Э Ж Т Щ У Щ У З Ц Х А Д С Ш Р;21; О Ф Ц Г Я Э Ж Т Т
24090;mouse 16 2;О Ф Х А К Л К А Х Ц Г Я М И Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
24091;mouse 16 3;О Ф Х А К Л Е Ш С Д К И М Э Я З У Щ Т;14; О Ф Х А Х Ц Г Я Э Т
24092;mouse 16 4;О Ф Ц Г Я Э В Ж Щ У З Г Ц Х А К Х Ф О Ф Х А К Л Е Р;21; О Ф Х А Х Ц Г Я Э Т
24093;mouse 16 5;О Ф Ц Х А К Л К Л И М Я Г З У Щ Ж Т;13; О Ф Х А Х Ц Г Я Э Т
24094;mouse 16 6;О Ф Х Ц Г Я Э Ж Щ У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
24095;mouse 16 7;О Ф Х А К Л К Д С Ш С Ш Р;9; О Ф Х А Х Ц Г Я Э Т
24096;mouse 16 8;О Ф О Ы О Ф Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
24097;mouse 16 9;О Ф Ц Г Я М Э Ж Щ Т;7; О Ф Х А Х Ц Г Я М Т
24098;mouse 16 10;О Ф Х А К Л Е Ш С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
24099;mouse 16 11;О Ф Ц Г Я Э Я Г З Ц Ф О Ы О Ф И К А Х Ц Ф Ц Г Я М И Ф Х К Л Е Ш С Ш Р;28; О Ф Х А Х Ц Г Я Э Т
24100;mouse 17 1;О Ф Ц Г Я Э Я Ц Х А К Л Е Р;8; О Ф Ц Г Я Э Ж Т Т
24101;mouse 17 2;О Ф Х А К Л К Х Ц Г Я Э Ж Щ У З Г Ц Х К Л Е Р;16; О Ф Х А К И М Я Г Т
24102;mouse 17 3;О М Э Я Ц Х Ц Я Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
24103;mouse 17 4;О Ф Х А К Л И О Ы О М Я Г З Ц Х К И О Ф Х Ф О Ы О И Л Е Р;24; О Ф Х А Х Ц Г Я Э Т
24104;mouse 17 5;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
24105;mouse 17 6;О Ы О Ф Х А Д С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
24106;mouse 17 7;О Ф Ц Г Ц Х К Л И М Я Г Ц Х А К Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
24107;mouse 17 8;О Ф Х Ф О Ф Ц Г З У Щ У Щ У Щ У З Ц Х А К Л И О Ф Х Ф И К А Х Ц Г Я М Э Я Ц Х Ц Ф И Л Е Ш С Ш Р;39; О Ф Х А Х Ц Г Я Э Т
24108;mouse 17 9;О Ф Ц Г Я М И К А Х Ц З У Щ У З Ц Х Ф И Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
24109;mouse 18 1;О Ф Ц Г Я М И Л Е Р;5; О Ф Ц Г Я Э Ж Т Т
24110;mouse 18 2;О Ф Ц Г Я М И К А Д С Ш Р;9; О Ф Х А К Л Е Р Т
24111;mouse 18 3;О Ф Ц Г Я Э Ж Щ У З Г Ц Х А К И М Э М И К Д С Ш Р;18; О Ф Х А К И М Я Г Т
24112;mouse 18 4;О Ф Х А К Л Е Р;4; О Ф Х А К И М Я Г Т
24113;mouse 18 5;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
24114;mouse 18 6;О И Л Е Ш С Д А Х Ц Г Я Э Ж Щ У З Г Ц Ф О Ы О М Я Ц Х Ц Я Э Ж Т;25; О Ф Х А Х Ц Г Я Э Т
24115;mouse 18 7;О Ф Ц Г Я М Ф Ц Х А Д С Ш Е Л К Х Ф О И Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
24116;mouse 18 8;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
24117;mouse 18 9;О Ф Ц Г Я Э Ж Щ У З Ц Х Ц Ф И К А Д С Ш Р;17; О Ф Х А Х Ц Г Я Э Т
24118;mouse 18 10;О Ф Ц Ф Х А Д С Ш Р Ш С Ш Р;10; О Ф Х А Х Ц Г Я Э Т
24119;mouse 18 11;О Ф Х Ц Г Ц Г З У Щ У Щ У З Г Ц Х А К Л Е Ш С Д А Х Ф Ц Ф О И Ф Х А Д С Ш Р;32; О Ф Х А Х Ц Г Я Э Т
24120;mouse 18 12;О Ы О Ф Х К Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
24121;mouse 12 2;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
24122;mouse 12 1;О Ф Х А К Л Е Р Ш С Д А Х Ц Г З У Щ Т;13; О Ф Х А К И М Я Г Т
24123;mouse 12 3;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
24124;mouse 12 4;О Ф Ц Г З Г Ц Х А Х Д С Ш Р;9; О Ф Х А Х Ц Г Я Э Т
24125;mouse 12 5;О М Я Г Ц Ф О Ы О Ф И Ф Ц Г З У Щ Т;14; О Ф Х А Х Ц Г Я М Т
24126;mouse 12 6;О М Э Ж Т;8; О Ф Х А Х Ц Г Я М Т
24127;mouse 12 7;О Ф Х А Д С Д А Х Ц Г Я Г Ц Ф О Ы О И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
24128;mouse 12 8;О Ф Х А К Л Е Р Ш С Д А Х Ф О Ы О Ф Ц Г Ц Х А Д С Ш Р;20; О Ф Х А Х Ц Г Я М Т
24129;mouse 19 1;О Ф Ц Г Я М И Л Е Ш С Д Х Ц Г З У Щ Т;13; О Ф Ц Г Я Э Ж Т Т
24130;mouse 19 2;О Ф Х А К И М Я Ц Х К Л Е Р;6; О Ф Х А К И М Я Г Т
24131;mouse 19 3;О Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
24132;mouse 19 4;О Ф Ц Г Ц Х А Х Д С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
24133;mouse 19 5;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я М Т
24134;mouse 19 6;О Ф О Ы О И Л К А Д С Д Х А К Л Е Ш С Д Х Ц Г Ц Ф О Ы О Ф Х А К Л Е Р;28; О Ф Х А Х Ц Г Я Э Т
24135;mouse 19 7;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
24136;mouse 19 8;О Ф Ц Г Я М О И К Х Ц Г Ц Ф О Ф Х А Д С Ш Р;17; О Ф Х А Х Ц Г Я М Т
24137;mouse 19 9;О Ф Х К Л Е Ш С Д Х Ц Г Я Э Ж Щ У Щ Т;12; О Ф Х А Х Ц Г Я М Т
24138;mouse 19 10;О Ф Ц Г Я Э М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
24139;mouse 19 11;О Ф Х Д С Ш С Ш С Д Х Ц Х Ф И О Ф Х К Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
24140;mouse 19 12;О Ф Ц Х К И М Я Г Ц Г З Ц Х А Д С Ш Р;14; О Ф Х А Х Ц Г Я Э Т
24141;mouse 19 13;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
24142;mouse 19 14;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
24143;mouse 19 15;О Ф Х Ц Ф Х А К Л И М И К;9; О Ф Х А Х Ц Г Я Э Т
24144;mouse 19 15;А Х Ц Г З У Щ Т Щ У З Г Ц Х А Д С Ш Р;18; О Ф Х А Х Ц Г Я Э Т
24145;mouse 21 1;О Ф Ц Г Я М Ф Ц Г Я Э Ж Т;5; О Ф Ц Г Я Э Ж Т Т
24146;mouse 21 2;О Ф Х Д С Ш С Д А Х Ц Г Ц Ф О Ф Ц Г Я Э Ж Т;17; О Ф Ц Г Ц Х А К Л Т
24147;mouse 21 3;О Ф Ц Г Ц З У Щ У З Ц Х А Д С Ш Р;14; О Ф Х А Х Ц Г Я Э Т
24148;mouse 21 4;О Ф Х А К Л И М Э М И К А Х Ф Х А К И М И Л Е Р;20; О Ф Ц Г Ц Х А Х Ц Т
24149;mouse 21 5;О И Л И М Я Г Я Ц Х А Д С Ш Р Ш С Д Х Ц Ф О Ы О И Л Е Р;23; О Ф Х А Х Ц Г Я Э Т
24150;mouse 21 6;О Ф Ц Г Я Э В Э М И К А Х Ф И Л Е Ш С Д Х Ц З У Щ У З Ц Ф О И Л Е Р;29; О Ф Х А Х Ц Г Я Э Т
24151;mouse 21 7;О Ф Х Д С Ш Р;7; О Ф Ц Г Ц Х А Х Ц Т
24152;mouse 21 8;О Ф И Ф Ц Г Я М И;5; О Ф Х А Х Ц Г Я Э Т
24153;mouse 22 1;О Ф Ц Я Э М И Л Е Р;6; О Ф Ц Г Я Э Ж Т Т
24154;mouse 22 2;О Ф Х А К И М Я Ц Х К Л И М Я Ц Ф О И Л Е Р;17; О Ф Ц Г Ц Х А К И Т
24155;mouse 22 3;О Ф Х К И М Э Я Ц Г Я Э Ж Щ У Щ Т;13; О Ф Ц Г Ц Х А Х Ц Т
24156;mouse 22 4;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я М Т
24157;mouse 22 5;О Ф Ц Г Я М О;4; О Ф Х А Х Ц Г Я М Т
24158;mouse 22 6;О Ф О Ф Ц Я М И Л К Х Ц Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
24159;mouse 22 7;О Ф Х А К И Л Е Р;5; О Ф Х А Х Ц Г Я М Т
24160;mouse 22 8;О Ф Х К И Ф Х Ц Г Я М И Л К Д С Ш Р;12; О Ф Х А Х Ц Г Ц Х Т
24161;mouse 22 9;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я М Т
24162;mouse 22 10;О И К Х Ф О Ы О И Л Е Р;10; О Ф Х А Х Ц Г Ц Х Т
24163;mouse 24 1;О Ф Ц Г Я Э Ж Т;0; О Ф Ц Г Я Э Ж Т Т
24164;mouse 24 2;О Ф Х К Л Е Р;6; О Ф Ц Г Ц Х А К Л Т
24165;mouse 24 3;О Ф Х А К Л Е Р;7; О Ф Ц Г Ц Х А Х Ц Т
24166;mouse 24 4;О Ф Ц Г Я М О Ы О Ф Х А Д С Ш Р;10; О Ф Ц Г Ц Х А Х Ц Т
24167;mouse 24 5;О Ф Ц Я Э Ж Щ У Щ Т;7; О Ф Ц Г Ц Х А Х Ц Т
24168;mouse 24 6;О Ф Х А К И Ф Х К Л Б Е Р;10; О Ф Ц Г Ц Х А Х Ц Т
24169;mouse 24 7;О Ф Ц Г Я Э Ж Щ Т;5; О Ф Ц Г Ц Х А Х Ц Т
24170;mouse 24 8;О Ф Х А К Л Е Р;7; О Ф Ц Г Ц Х А Х Ц Т
24171;mouse 1 1;О М И Л Б Е Р Е Б Л И К А Х К И О М Я Г З Г Я М О Ы О Ф Х А К И О М Я З Г З У Щ У З Ц Х Ц З У З Ц Ф О Ы О Ф Ц З У Щ Ж В Э М О И К Д А Д С Ш Р Ш С Д Х Ц Г Я М О И Л Е Р;77; О Ф Х А К Л Е Р Ш Т
24172;mouse 5 1;У Щ Т;9; О Ф Х А К Л Е Р Е Т
24173;mouse 5 1;О Ф Х А К И М Я Г Ц Х Д С Ш Р Ш С Д А Х Ц Г З;17; О Ф Х А К Л Е Р Е Т
24174;mouse 5 2;О Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
24175;mouse 5 3;О Ф Х К А К И М Э Ж Т;4; О Ф Х А К И М Я Г Т
24176;mouse 5 4;О Ф Ц Г Я Г Ц Х А Д С Ш Р;10; О Ф Х А К И М Я Г Т
24177;mouse 5 5;О Ф О Ф Ц Х К Л Б Е Р;8; О Ф Х А К И М Я Г Т
24178;mouse 5 6;О Ф Ц Г З У Щ Т Ж В Ж Э Я Ц Х Д С Ш Р Ш С Ш Р;20; О Ф Х А К И М Я Г Т
24179;mouse 5 7;О Ф Ц Г З Ц Х К И М Э Ж Т;8; О Ф Х А К И М Я Г Т
24180;mouse 2 1;О И К И М Э Я Г Ц Х Ф О Ы О Ф Х Д С Ш Р;17; О Ф Х А К Л Е Р Ш Т
24181;mouse 2 2;О Ф Х К И М Я Э М И К А Д Х Ц З У Щ Т;15; О Ф Х А К Л Е Р Ш Т
24182;mouse 2 3;О Ф Х К Л Е Ш С Д Х Ц Я М О Ы О Ф Ц Г Я М И Л И М Я Ц Х К И М Э Ж Щ У Щ Ж Э М И К Л Е Ш С Д К И М Я Ц Ф О Ы О Ф О Ы О М Я М И К Х Ф Ц Я Э Ж Т Ж Э М И К А Д С Ш Р Ш С Ш С Д Х Ц Г З Г Ц Х А Д С Ш Е Л И М Я Г Ц Х К Х Ф О М Э Ж Т;105; О Ф Х А К И М Я Г Т
24183;mouse 2 4;О Ф Ц Я М И К А Х Ц Г Ц Ф О И Л Е Р;14; О Ф Х А К И М Я Г Т
24184;mouse 2 5;О М И Л Е Ш С Д Х Ф О Ы О Ф Ц Я Э Ж Т;16; О Ф Х А К И М Я Г Т
24185;mouse 3 1;О М Ф Х К Л Е Ш С Д А Х Ц Я Э Ж Т;12; О Ф Х А К Л Е Р Ш Т
24186;mouse 3 2;О Ф Х Д С Ш Е Л К А Д А Х Ц Г З Я Э Ж Т;16; О Ф Х А К Л Е Р Ш Т
24187;mouse 3 3;О М Я Г Ц Х А К Л Е Р;8; О Ф Х А К И М Я Г Т
24188;mouse 3 4;О М Я Г Ц Ф О Ы О Ф Х Д С Ш Р;13; О Ф Х А К И М Я Г Т
24189;mouse 3 5;О Ф Х Д С Ш Р;6; О Ф Х А К И М Я Г Т
24190;mouse 3 6;О М Я Г Ц Х Ц Г Ц Х А К Л Е Р;12; О Ф Х А К И М Я Г Т
24191;mouse 3 7;О М Э Ж Т Щ У Щ Ж В Э М И Л Е Р;14; О Ф Х А К И М Я Г Т
24192;mouse 3 8;О Ф Х К А Х Ц Х Ф О М И Л Е Р;10; О Ф Х А К И М Я Г Т
24193;mouse 3 9;О Ф Х Д С Ш С Д А Х Ц Г Я Э В Ж Т Щ Ж Э М И Л Б Е Р;21; О Ф Х А К И М Я Г Т
24194;mouse 4 1;О Ф Х Д С Ш Р Е Л К А Х Ц Г Я Э Ж Т;14; О Ф Х А К Л Е Р Ш Т
24195;mouse 4 2;О М Я Г Ц Х К И О Ы О М Э Ж Т;11; О Ф Х А К И М Я Г Т
24196;mouse 4 3;О Ф Ц Г З Ц Х А К Л К Х Ц Х К Л И М Э Ж Т;14; О Ф Х А К И М Я Г Т
24197;mouse 4 4;О Ф Ц Г Я Э В Э М И К А Д С Ш Р;13; О Ф Х А К И М Я Г Т
24198;mouse 4 5;О Ф Ц Г Я М Ф Х К Л И М Э Ж Т;10; О Ф Х А К И М Я Г Т
24199;mouse 4 6;О Ф Х А К И М Я Г Я Э Ж Т;4; О Ф Х А К И М Я Г Т
24200;mouse 4 7;О Ф Ц Г Я Э М Я М И К А Х Ц Ф Х Д С Ш Р;16; О Ф Х А К И М Я Г Т
24201;mouse 7 1;О Ф Ц Г З Я Г Ц Х А К И М Э М И Л Е Р;11; О Ф Х А К Л Е Р Т
24202;mouse 7 2;О Ф Х А Д А Х Ф О М Я Ц Ф О М Э Ж Т;12; О Ф Х А К И М Я Г Т
24203;mouse 7 3;О Ф Ц Г Ц Х Ц Г Я М И Л Е Р;10; О Ф Х А К И М Я Г Т
24204;mouse 7 4;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
24205;mouse 7 5;О Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
24206;mouse 7 6;О М Э В Ж Т;8; О Ф Х А К И М Я Г Т
24207;mouse 7 7;О Ф Х А Д С Ш Е Л К И М Я Г Ц Х Ф И Л Е Р;16; О Ф Х А Х Ц Г Я Э Т
24208;mouse 7 8;О М И К А Х Ц Г З Ц Ф О Ы О М Э В Ж Т;13; О Ф Х А Х Ц Г Я М Т
24209;mouse 8 1;О Ф Ц Г Я Э М И К А Х Ц Г Ц Х А К Л Е Р Ш Р;14; О Ф Х А К Л Е Р Т
24210;mouse 8 2;О М Я Г З У Щ Т;8; О Ф Х А К И М Я Г Т
24211;mouse 8 3;О Ф Х А К И М Я Г Я М И Л Е Р Ш С Д А Х Ф О Ы О М Э Ж Т;19; О Ф Х А К И М Я Г Т
24212;mouse 8 4;О И К А Х Ц Г Я Э М И К А К Л Е Р;14; О Ф Х А К И М Я Г Т
24213;mouse 8 5;О М Э Ж Т;8; О Ф Х А К И М Я Г Т
24214;mouse 8 6;О Ф Х А К Л И М Я Г Ц Ф О Ы О Ф Х К Л Е Р;16; О Ф Х А Х Ц Г Я М Т
24215;mouse 8 7;О Ф Ц Х К Л Е Р;6; О Ф Х А Х Ц Г Я М Т
24216;mouse 8 8;О Ф Х А Д С Ш Р Ш С Д А К И М Я М Я М И Л Е Р;17; О Ф Х А Х Ц Г Я М Т
24217;mouse 8 9;О Ф Ц Г Ц Х А К И О Ы О Ф К О Е Ц О Ы Т О Г О В Р Е М Е И Ф О Ы О М Э В Ж Т;31; О Ф Х А Х Ц Г Я М Т
24218;mouse 9 1;О Ф Ц Г З Ц Г З У Щ Т Щ Т;11; О Ф Х А К И М Я Г Т
24219;mouse 9 2;О Ф Ц Г З У Щ Т Ж Э В Ж Щ У З Г Ц Х А Д С Ш Р Ш С Д Х Ф О Ы О Ф Х Д С Ш Р;33; О Ф Х А К И М Я Г Т
24220;mouse 9 3;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
24221;mouse 9 4;О Ф Ц Г З Г Ц Ф О М Э Ж Т;9; О Ф Х А Х Ц Г Я М Т
24222;mouse 9 5;О М Э Я Г Я Г Ц Х А Х Ц Ф Х А Д К Л Е Р;15; О Ф Х А Х Ц Г Я М Т
24223;mouse 9 6;О М Я Г Ц Х А К Л И О Ы О М Я Г Ц Х А Х А К И М Э Ж Т;22; О Ф Х А Х Ц Г Я М Т
24224;mouse 10 1;О Ф Х А Д К Л К А Д Х К Х Ц Г Я Э Ж Т Щ У З Г Ц Х Ф О Ф Х А К Д С Ш Р Е Л И О Ы О М Э Ж Т;38; О Ф Х А К И М Я Г Т
24225;mouse 10 2;О М Я Г Ц Х А К Л И М Я Э В Э Ж Т;10; О Ф Х А К И М Я Г Т
24226;mouse 10 3;О Ф Х А Д Х Ц Г З У Щ Т;5; О Ф Х А Х Ц Г Я Э Т
24227;mouse 10 4;О М Я Г Ц Х Ф И К А Д С Ш Р;12; О Ф Х А Х Ц Г Я М Т
24228;mouse 10 5;О М Э Я Г Ц Ф О Ы О М Я Г Я М И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
24229;mouse 10 6;О Ф Х А Х К И Л Е Ш С Д А Х Ц Г Ц Ф О Ы О М Э Ж Т;17; О Ф Х А Х Ц Г Я М Т
24230;mouse 10 7;О М Э Ж Т;8; О Ф Х А Х Ц Г Я М Т
24231;mouse 10 8;О Ф Ц Г Ц Я З У Щ У Щ Т;10; О Ф Х А Х Ц Г Я М Т
24232;mouse 11 1;О Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
24233;mouse 11 2;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
24234;mouse 11 3;О Ф Ц Г З Ц Ф О Ы О М Я Г Я Ц Х А Д С Ш Р;16; О Ф Х А Х Ц Г Я Э Т
24235;mouse 11 4;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
24236;mouse 11 5;О М Я Г Ц Х А Д С Ш Р Е Л К А Х Ф О М Э Ж Т;17; О Ф Х А Х Ц Г Я Э Т
24237;mouse 11 6;О Ф Х А Д С Ш Е Л И М Я Г Ц Ф О Ы О М Э Ж Т;16; О Ф Х А Х Ц Г Я Э Т
24238;mouse 11 7;О М Я Г Ц Х А Д С Ш Р;9; О Ф Х А Х Ц Г Я М Т
24239;mouse 11 8;О Ф Ц Г Ц Г З Г Ц Ф И Л Е Ш С Ш Р;14; О Ф Х А Х Ц Г Я М Т
24240;mouse 11 9;О М Э Ж Т Щ У З Г Ц Ф И Л Е Р;13; О Ф Х А Х Ц Г Я М Т
24241;mouse 11 10;О Ф Ц Г З У Щ У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
24242;mouse 11 11;О Ф Х А Д С Ш С Ш С Д Х Ц Г З У Щ Т;11; О Ф Х А Х Ц Г Я Э Т
24243;mouse 13 1;О Ф Ц Г Ц Х А К Л Е Р;7; О Ф Х А К И М Я Г Т
24244;mouse 13 2;О М Э Ж Щ У З Г Ц Ф О Ы О М Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
24245;mouse 13 3;О М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24246;mouse 13 4;О Ф Х А К Л Е Ш Р;5; О Ф Х А Х Ц Г Я М Т
24247;mouse 13 5;О Ф Ц З У З Ц Ф И Л Е Ш С Д А Х Ф О Ы О М Э Ж Т;19; О Ф Х А Х Ц Г Я М Т
24248;mouse 13 6;О Ф Ц Г Я М И О Ы О М Э Ж Т;11; О Ф Х А Х Ц Г Я М Т
24249;mouse 13 7;О Ы О Ф Х К Л Е Ш Р;8; О Ф Х А Х Ц Г Я М Т
24250;mouse 13 8;О Ф Ц Я М И О М Э В Ж Т;10; О Ф Х А Х Ц Г Я М Т
24251;mouse 14 1;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
24252;mouse 14 2;О М Э Я Г Ц Х А К Л Б Е Р;10; О Ф Х А Х Ц Г Я Э Т
24253;mouse 14 3;О Ф Х А К Л Е Ш С Д А К Х Ф О Ы О М Э Ж Т;15; О Ф Х А Х Ц Г Я Э Т
24254;mouse 14 4;О Ф И Л И М Я Г Ц Х К Л Е Ш С Д А К Л Е Р Е Б Е Р;21; О Ф Х А Х Ц Г Я Э Т
24255;mouse 14 5;О И Ф Х А Х Ц Г З У Щ Т;5; О Ф Х А Х Ц Г Я М Т
24256;mouse 15 1;О Ф Ц Г Ц Х А К Л К А Х Ц Г Я Э Ж Щ У Щ Т;15; О Ф Х А К И М Я Г Т
24257;mouse 15 2;О Ф Х А К И О Ы О М Я Г Ц Ф И Л Е Ш С Ш Р;16; О Ф Х А Х Ц Г Я Э Т
24258;mouse 15 3;О М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24259;mouse 15 4;О Ф Ц Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
24260;mouse 15 5;О Ф Х А К Л Е Л И М Я Г Ц Я Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
24261;mouse 15 6;О Ф Х А К И О Ы О М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24262;mouse 15 7;О Ф Х А К Л Е Л К И Ф Ц Г Я М О Ы О М Э В Ж Т;15; О Ф Х А Х Ц Г Я Э Т
24263;mouse 16 1;О Ф Ц Г Я Э Ж Т;0; О Ф Ц Г Я Э Ж Т Т
24264;mouse 16 2;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
24265;mouse 16 3;О Ф Ц Г Я М И К А Д С Ш Р Е Л И О Ы О М Э В Ж Т;20; О Ф Х А Х Ц Г Я Э Т
24266;mouse 16 4;О М Я Г Я М И К А Д С Ш Р;12; О Ф Х А Х Ц Г Я Э Т
24267;mouse 16 5;О И К А Х Ф О Ы О М Э В Ж Т;10; О Ф Х А Х Ц Г Я Э Т
24268;mouse 17 1;О Ф Ц Г Ц Х А К Л Е Р;7; О Ф Ц Г Я Э Ж Т Т
24269;mouse 17 2;О Ф Х А Х Ф О Ы О И К А К Л Е Ш С Д А Х Ц Г З У Щ Т;20; О Ф Х А К И М Я Г Т
24270;mouse 17 3;О И М Э Ж Щ Ж Э Я Г Я Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
24271;mouse 17 4;О И К А Х Ц Г Я Э Ж Т;4; О Ф Х А Х Ц Г Я Э Т
24272;mouse 17 5;О И К Л И М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24273;mouse 17 6;О Ф Х К И М Я Г Ц Ф О Ы О И Л Е Ш С Ш Р;16; О Ф Х А Х Ц Г Я Э Т
24274;mouse 17 7;О Ы О М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
24275;mouse 17 8;О Ф Ц Г Ц Х А К Л Б Л И Ф Ц Г Я Э В Ж Т;12; О Ф Х А Х Ц Г Я Э Т
24276;mouse 18 1;О Ф Х А Д С Ш Р;6; О Ф Ц Г Я Э Ж Т Т
24277;mouse 18 2;О Ф Х Д С Д А Х Ц Г Я М И К Х Ц Х К И М Э Ж Щ У З Ц Х К Л Е Ш С Д А Х Ц Г Я М О Ы О М Э Ж Т;39; О Ф Х А К Л Е Р Т
